treatment,cluster,df,p.value,comparison,channel,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
Triptolide (2.5h) - Control,Nucleolus - all,5,0.04981864435940605,relative_to_all,01_CDK9_pT186,1.4505645744200586,1.092735265523719,1.9255693953960464,0.5366145210594809,0.12794392490996703,0.9452851172089951
Triptolide (2.5h) - Control,Nucleoplasm - all,5,0.5756503113886793,relative_to_all,01_CDK9_pT186,0.9147572548803639,0.6832319862430452,1.2247389645170859,-0.12853914235697836,-0.549552577022044,0.29247429230808725
Triptolide (2.5h) - Control,PML bodies - all,5,0.5880463775535055,relative_to_all,01_CDK9_pT186,0.9229970708135679,0.7035343715775259,1.210919646783098,-0.11560202548808433,-0.5073071860053604,0.27610313502919187
Triptolide (2.5h) - Control,all,6,0.12832883719177163,unnormalised,01_PABPC1,0.8155843829079685,0.6502153816791703,1.0230116118224721,-0.2940939444923163,-0.6210104096530366,0.03282252066840408
Triptolide (2.5h) - Control,Cajal bodies,6,0.10597221186540266,unnormalised,01_PABPC1,0.8138375646554269,0.6581384352430483,1.006371222491632,-0.2971872218346208,-0.6035370172608018,0.009162573591560278
Triptolide (2.5h) - Control,Extra-nuclear,6,0.1640143484391322,unnormalised,01_PABPC1,0.822319243804809,0.6456470764196117,1.0473352446379527,-0.2822295038513434,-0.631182320421259,0.06672331271857239
Triptolide (2.5h) - Control,Nuclear periphery,6,0.04000976698539899,unnormalised,01_PABPC1,0.7767559402482868,0.6426276565219402,0.938879278829172,-0.3644667254742979,-0.6379450240244113,-0.09098842692418442
Triptolide (2.5h) - Control,Nuclear speckles,6,0.16343863022849986,unnormalised,01_PABPC1,0.8399070756806378,0.6771748545494534,1.041745556615146,-0.2516983727941651,-0.5623996920766294,0.059002946488299395
Triptolide (2.5h) - Control,Nucleolus,6,0.01713420498686404,unnormalised,01_PABPC1,0.7246141367789302,0.5972248996890663,0.8791757468471918,-0.46471514272311776,-0.7436537788638768,-0.18577650658235864
Triptolide (2.5h) - Control,Nucleoplasm,6,0.0948373112130114,unnormalised,01_PABPC1,0.8117326312761043,0.6603996969013479,0.9977440446597561,-0.300923484535113,-0.5985886367788664,-0.0032583322913595915
Triptolide (2.5h) - Control,PML bodies,6,0.12191912681702169,unnormalised,01_PABPC1,0.8205143417148676,0.6615269375209887,1.0177118221106787,-0.2853995441586236,-0.5961281903309747,0.025329102013727352
Triptolide (2.5h) - Control,Cajal bodies - all,5,0.989678555690537,relative_to_all,01_PABPC1,0.9978582004644163,0.732534662809514,1.3592817361231238,-0.0030932773423044536,-0.44903106684707167,0.4428445121624626
Triptolide (2.5h) - Control,(Extra-nuclear) - all,5,0.9629585974907962,relative_to_all,01_PABPC1,1.0082577119400293,0.7247081144755777,1.4027490425192435,0.011864440640973103,-0.46452804677950654,0.4882569280614524
Triptolide (2.5h) - Control,Nuclear periphery - all,5,0.7584571174475196,relative_to_all,01_PABPC1,0.9523918757232221,0.709570054241087,1.2783097025053056,-0.07037278098198158,-0.4949829695627871,0.35423740759882405
Triptolide (2.5h) - Control,Nuclear speckles - all,5,0.8604537777331709,relative_to_all,01_PABPC1,1.0298224111231098,0.7543928053977995,1.4058116552320301,0.042395571698151065,-0.4066121777110583,0.49140332110736035
Triptolide (2.5h) - Control,Nucleolus - all,5,0.4698708759823592,relative_to_all,01_PABPC1,0.8884600440671955,0.6604290537490549,1.1952249002719053,-0.17062119823080146,-0.5985245058631983,0.25728210940159546
Triptolide (2.5h) - Control,Nucleoplasm - all,5,0.9769100477099973,relative_to_all,01_PABPC1,0.9952773107080216,0.733628965965123,1.3502423856820347,-0.006829540042796734,-0.4468774927193278,0.43321841263373434
Triptolide (2.5h) - Control,PML bodies - all,5,0.9711868782969633,relative_to_all,01_PABPC1,1.0060446949576465,0.7370366904669129,1.3732368297855595,0.00869440033369255,-0.44019165489251666,0.457580455559902
Triptolide (2.5h) - Control,all,6,0.4347386090754306,unnormalised,02_CDK7,0.9624176032858404,0.8798313823008266,1.0527558595287345,-0.055265064238577605,-0.1847010338958424,0.07417090541868733
Triptolide (2.5h) - Control,Cajal bodies,6,0.3934888161479141,unnormalised,02_CDK7,0.9614698875555026,0.8841921065707915,1.045501693360772,-0.05668642063434693,-0.17756823987835715,0.06419539860966314
Triptolide (2.5h) - Control,Extra-nuclear,6,0.09271020328116332,unnormalised,02_CDK7,1.165163637222427,1.0028982195712053,1.353683030852171,0.22053258323227481,0.004175199598490107,0.4368899668660593
Triptolide (2.5h) - Control,Nuclear periphery,6,0.0024415306792361837,unnormalised,02_CDK7,1.253284634958791,1.1472261134118142,1.3691480326859988,0.3257141040527092,0.19814976846639665,0.4532784396390218
Triptolide (2.5h) - Control,Nuclear speckles,6,0.019715274034365945,unnormalised,02_CDK7,0.8681316114245325,0.7950984444803199,0.9478731847439927,-0.2040143186278134,-0.33079459729437083,-0.07723403996125616
Triptolide (2.5h) - Control,Nucleolus,6,0.02749194755247499,unnormalised,02_CDK7,1.1734033232014487,1.053028207595559,1.3075389139328981,0.23069898299157712,0.07454408252998611,0.3868538834531684
Triptolide (2.5h) - Control,Nucleoplasm,6,0.1216469362594152,unnormalised,02_CDK7,0.9041877094277847,0.8103596749586472,1.008879685334767,-0.14530578756899623,-0.3033657102160456,0.01275413507805324
Triptolide (2.5h) - Control,PML bodies,6,0.22447751413541767,unnormalised,02_CDK7,0.9450198426881286,0.8707501567255045,1.0256242806004163,-0.08158347280527402,-0.19966926740601298,0.036502321795465045
Triptolide (2.5h) - Control,Cajal bodies - all,5,0.9877341174616269,relative_to_all,02_CDK7,0.9990152759809232,0.8864777550849122,1.1258393297727394,-0.0014213563957694458,-0.17384366571640295,0.17100095292486406
Triptolide (2.5h) - Control,(Extra-nuclear) - all,5,0.08311575354096798,relative_to_all,02_CDK7,1.2106632643089452,1.0179170175243206,1.4399067058648243,0.27579764747085234,0.025619955042445637,0.5259753398992592
Triptolide (2.5h) - Control,Nuclear periphery - all,5,0.008858171113500013,relative_to_all,02_CDK7,1.3022253860277349,1.1497425717042271,1.4749309956414556,0.38097916829128664,0.2013108767349431,0.5606474598476303
Triptolide (2.5h) - Control,Nuclear speckles - all,5,0.15883945173274452,relative_to_all,02_CDK7,0.9020321412041913,0.7983460620383673,1.0191845647587283,-0.14874925438923586,-0.32491384247172334,0.027415333693251685
Triptolide (2.5h) - Control,Nucleolus - all,5,0.037124426094769666,relative_to_all,02_CDK7,1.2192247099338904,1.0622969091619492,1.3993346685778205,0.2859640472301548,0.08718705193180759,0.4847410425285021
Triptolide (2.5h) - Control,Nucleoplasm - all,5,0.41637627519979525,relative_to_all,02_CDK7,0.9394962294338238,0.8182934523779889,1.0786511398268577,-0.09004072333041861,-0.2893097867211534,0.10922834006031623
Triptolide (2.5h) - Control,PML bodies - all,5,0.7735576337965464,relative_to_all,02_CDK7,0.9819228570442672,0.8728806529930041,1.104586857183675,-0.02631840856669654,-0.1961436839943706,0.14350686686097755
Triptolide (2.5h) - Control,all,6,1.332767323269218e-6,unnormalised,03_CDK9,0.5104444806231865,0.4764051443002298,0.5469159410135884,-0.9701740424726644,-1.0697391031455368,-0.8706089817997922
Triptolide (2.5h) - Control,Cajal bodies,6,1.3782024479969104e-6,unnormalised,03_CDK9,0.5100964109505103,0.47586006931305347,0.5467959285598629,-0.9711581449506171,-1.0713906956967565,-0.8709255942044781
Triptolide (2.5h) - Control,Extra-nuclear,6,2.1252295536596698e-4,unnormalised,03_CDK9,0.7145047174806868,0.6575896412966465,0.776345853464951,-0.48498455821494174,-0.6047405217918296,-0.3652285946380537
Triptolide (2.5h) - Control,Nuclear periphery,6,1.6098710067594827e-6,unnormalised,03_CDK9,0.571528951227456,0.5386349596378011,0.6064317516835607,-0.8071015137977906,-0.8926202251307783,-0.7215828024648032
Triptolide (2.5h) - Control,Nuclear speckles,6,4.845777413678067e-7,unnormalised,03_CDK9,0.40623715341155747,0.37577674864856603,0.4391666738440578,-1.2996059040188697,-1.4120522927573345,-1.1871595152804049
Triptolide (2.5h) - Control,Nucleolus,6,0.00114124501024281,unnormalised,03_CDK9,0.7498645735996969,0.6804694194417671,0.8263367356039949,-0.4152980281293716,-0.5553977669730003,-0.27519828928574275
Triptolide (2.5h) - Control,Nucleoplasm,6,6.435389858118045e-6,unnormalised,03_CDK9,0.4789783834792304,0.43396033822203395,0.528666496989858,-1.061967546965626,-1.2043649012155504,-0.9195701927157017
Triptolide (2.5h) - Control,PML bodies,6,1.7459469468288253e-6,unnormalised,03_CDK9,0.4791135839115629,0.4427006996721654,0.5185214897075416,-1.0615603772967726,-1.1755964413233577,-0.9475243132701875
Triptolide (2.5h) - Control,Cajal bodies - all,5,0.9885086246165333,relative_to_all,03_CDK9,0.9993181047383425,0.9148386485094071,1.0915986945730398,-9.841024779527641e-4,-0.12841077938366763,0.12644257442776208
Triptolide (2.5h) - Control,(Extra-nuclear) - all,5,0.0014727744381812205,relative_to_all,03_CDK9,1.3997696999453677,1.2609074017442559,1.5539247451277565,0.4851894842577227,0.33446233121763747,0.6359166372978078
Triptolide (2.5h) - Control,Nuclear periphery - all,5,0.04916090513083485,relative_to_all,03_CDK9,1.1196691764199178,1.02769192167008,1.2198782905557561,0.16307252867487354,0.03940784265240026,0.286737214697347
Triptolide (2.5h) - Control,Nuclear speckles - all,5,0.0054012463731294,relative_to_all,03_CDK9,0.7958498305547249,0.7233668888053671,0.8755957213358213,-0.32943186154620513,-0.4672005329035848,-0.19166319018882555
Triptolide (2.5h) - Control,Nucleolus - all,5,0.0011042680746955978,relative_to_all,03_CDK9,1.469042377898199,1.3131942990097025,1.6433862907326326,0.5548760143432928,0.39308039184329713,0.7166716368432886
Triptolide (2.5h) - Control,Nucleoplasm - all,5,0.31389255836344443,relative_to_all,03_CDK9,0.938355495380144,0.8394207454352663,1.0489507681318293,-0.09179350449296157,-0.25253397647323717,0.06894696748731398
Triptolide (2.5h) - Control,PML bodies - all,5,0.24879673985759024,relative_to_all,03_CDK9,0.9386203634264542,0.8534249307218782,1.032320658705856,-0.0913863348241081,-0.22866383892595213,0.04589116927773577
Triptolide (2.5h) - Control,all,6,0.6621418080077237,unnormalised,03_RPS6,1.0295022953877746,0.9093919015207685,1.165476594234319,0.041947046619868554,-0.13702593849332992,0.22092003173306685
Triptolide (2.5h) - Control,Cajal bodies,6,0.2541945499445886,unnormalised,03_RPS6,1.0751584658935904,0.960608972843411,1.203367613110036,0.10454931201025819,-0.05797881034260792,0.2670774343631242
Triptolide (2.5h) - Control,Extra-nuclear,6,0.23447037433572954,unnormalised,03_RPS6,1.0914557404632417,0.9586062201069274,1.242716360902898,0.12625362890055458,-0.06098979368668945,0.3134970514877987
Triptolide (2.5h) - Control,Nuclear periphery,6,0.02623301188051759,unnormalised,03_RPS6,1.0602083571725813,1.0195662574119222,1.1024705382775841,0.0843478179209461,0.027955533209889083,0.14074010263200307
Triptolide (2.5h) - Control,Nuclear speckles,6,0.21197139181189895,unnormalised,03_RPS6,1.0877211936750029,0.9666617742945169,1.2239414308414576,0.12130881022018569,-0.04891690208670472,0.2915345225270762
Triptolide (2.5h) - Control,Nucleolus,6,0.1388238901048913,unnormalised,03_RPS6,0.9099759258515687,0.8165249871100454,1.014122284928704,-0.13609971673424642,-0.29243105940270103,0.020231625934208297
Triptolide (2.5h) - Control,Nucleoplasm,6,0.7417846046507247,unnormalised,03_RPS6,1.019998026758246,0.9115118837566634,1.1413959522972705,0.028566361227313476,-0.1336666294896077,0.19079935194423486
Triptolide (2.5h) - Control,PML bodies,6,0.40627777420060496,unnormalised,03_RPS6,1.055269715893123,0.9377378746940038,1.1875324686491233,0.0776117838139813,-0.09274339147347874,0.24796695910144143
Triptolide (2.5h) - Control,Cajal bodies - all,5,0.6302657103971554,relative_to_all,03_RPS6,1.0443478083636704,0.8845980788330761,1.2329467708914277,0.06260226539038957,-0.17690598588729112,0.3021105166680705
Triptolide (2.5h) - Control,(Extra-nuclear) - all,5,0.5482281434533364,relative_to_all,03_RPS6,1.0601780543404535,0.8873282484593916,1.2666986640587587,0.08430658228068613,-0.17246019687567749,0.34107336143704986
Triptolide (2.5h) - Control,Nuclear periphery - all,5,0.6745944196002307,relative_to_all,03_RPS6,1.0298261227025638,0.904915083423236,1.1719794071600993,0.042400771301077694,-0.14414567779878112,0.22894722040093646
Triptolide (2.5h) - Control,Nuclear speckles - all,5,0.5530190957123566,relative_to_all,03_RPS6,1.056550527908536,0.8916915681358859,1.2518891710027835,0.0793617636003172,-0.16538331979669157,0.3241068469973259
Triptolide (2.5h) - Control,Nucleolus - all,5,0.1988804732365593,relative_to_all,03_RPS6,0.8838988800008603,0.7506473411442457,1.040804632540014,-0.1780467633541149,-0.41379281521365435,0.05769928850542456
Triptolide (2.5h) - Control,Nucleoplasm - all,5,0.916950735008356,relative_to_all,03_RPS6,0.990768093794343,0.8394093515373722,1.169419203971273,-0.013380685392554922,-0.25255355906234866,0.22579218827723893
Triptolide (2.5h) - Control,PML bodies - all,5,0.786639321465138,relative_to_all,03_RPS6,1.0250290073376116,0.8650825264689692,1.2145482468269664,0.035664737194112985,-0.20909032647520048,0.28041980086342627
Triptolide (2.5h) - Control,all,6,0.16179541712874335,unnormalised,05_GTF2B,0.9401539366137877,0.8715011541542194,1.014214863993158,-0.08903109830257463,-0.19842551993231006,0.020363323327160825
Triptolide (2.5h) - Control,Cajal bodies,6,0.8309524961876553,unnormalised,05_GTF2B,0.9913243718504761,0.9182315362853583,1.070235524909417,-0.012570895104846857,-0.12307011321696416,0.09792832300727035
Triptolide (2.5h) - Control,Extra-nuclear,6,0.07655068017755685,unnormalised,05_GTF2B,1.183669506692697,1.0140085063117381,1.381717699953297,0.24326632115833208,0.020069754868163685,0.4664628874485008
Triptolide (2.5h) - Control,Nuclear periphery,6,0.0061624352598846285,unnormalised,05_GTF2B,1.184318686596898,1.0929086331290854,1.2833742079672426,0.2440573459231961,0.12817279712944576,0.3599418947169466
Triptolide (2.5h) - Control,Nuclear speckles,6,0.24555635892324199,unnormalised,05_GTF2B,0.9450622407502665,0.8671322045773185,1.0299959270077794,-0.08151874813057772,-0.2056761287208177,0.04263863245966231
Triptolide (2.5h) - Control,Nucleolus,6,0.8187424865593079,unnormalised,05_GTF2B,1.0099038418420752,0.9316305681371134,1.0947534405260926,0.014217933074276379,-0.10217011766542476,0.13060598381397764
Triptolide (2.5h) - Control,Nucleoplasm,6,0.07174399120679364,unnormalised,05_GTF2B,0.8932109710094218,0.8070922112465492,0.9885188180658526,-0.1629271234810264,-0.3091945823406282,-0.016659664621424482
Triptolide (2.5h) - Control,PML bodies,6,0.20358738110181163,unnormalised,05_GTF2B,0.9402979673966748,0.8640449394158677,1.0232804188264204,-0.08881009557852747,-0.21082174524588446,0.033201554088829514
Triptolide (2.5h) - Control,Cajal bodies - all,5,0.37022680440990496,relative_to_all,05_GTF2B,1.054427720018907,0.9488098098301929,1.1718026154717462,0.07646020319772781,-0.07580916877219726,0.22872957516765263
Triptolide (2.5h) - Control,(Extra-nuclear) - all,5,0.04607945196559175,relative_to_all,05_GTF2B,1.2590166999204353,1.0609980574427806,1.4939924154988649,0.3322974194609068,0.08542201485754812,0.5791728240642652
Triptolide (2.5h) - Control,Nuclear periphery - all,5,0.009015835633406605,relative_to_all,05_GTF2B,1.2597072037612627,1.1292113045461207,1.4052836991796223,0.33308844422577055,0.1753154768076052,0.49086141164393615
Triptolide (2.5h) - Control,Nuclear speckles - all,5,0.9311332827356842,relative_to_all,05_GTF2B,1.0052207451836637,0.8984171944812798,1.1247210680679542,0.007512350171997015,-0.1545425556667788,0.16956725601077263
Triptolide (2.5h) - Control,Nucleolus - all,5,0.25283549058413607,relative_to_all,05_GTF2B,1.0741898773295682,0.963679309037304,1.197373318837798,0.10324903137685104,-0.05337496527272598,0.25987302802642803
Triptolide (2.5h) - Control,Nucleoplasm - all,5,0.45567980643894623,relative_to_all,05_GTF2B,0.9500688517314055,0.8390937241534927,1.0757210989044605,-0.07389602517845167,-0.25309613068280434,0.10530408032590101
Triptolide (2.5h) - Control,PML bodies - all,5,0.9979484015920108,relative_to_all,05_GTF2B,1.0001531991488606,0.8949799421715702,1.1176858548813586,2.2100272404717466e-4,-0.16007274508462305,0.16051475053271733
Triptolide (2.5h) - Control,all,6,0.3193658467266157,unnormalised,05_Sm,1.0826116241517951,0.9380603424326536,1.249437670192025,0.11451578366594785,-0.09224736518692836,0.3212789325188241
Triptolide (2.5h) - Control,Cajal bodies,6,0.6939914691093974,unnormalised,05_Sm,1.0295745680916053,0.8965640891085184,1.1823179225425262,0.04204832255890739,-0.15752137990943052,0.24161802502724555
Triptolide (2.5h) - Control,Extra-nuclear,6,0.02990177591783019,unnormalised,05_Sm,1.200745554783351,1.057921756106397,1.3628511551160258,0.26393046766015976,0.08123292967163878,0.446628005648681
Triptolide (2.5h) - Control,Nuclear periphery,6,0.011572107001881013,unnormalised,05_Sm,1.2525652953892,1.107472451110712,1.4166671303109386,0.3248858121061705,0.14727081152044075,0.5025008126919002
Triptolide (2.5h) - Control,Nuclear speckles,6,0.10351569575713138,unnormalised,05_Sm,0.8543121215659851,0.7273549723660652,1.003429176651389,-0.22716484240942164,-0.4592684778027704,0.004938792983927185
Triptolide (2.5h) - Control,Nucleolus,6,0.0010407595145284576,unnormalised,05_Sm,1.546445772669216,1.3383872484685735,1.7868479623837683,0.628956245083921,0.4204956052268072,0.8374168849410351
Triptolide (2.5h) - Control,Nucleoplasm,6,0.9946521989217334,unnormalised,05_Sm,0.9994040544310212,0.8454955550321983,1.1813290537939338,-8.600240062141136e-4,-0.24213092481728532,0.24041087680485732
Triptolide (2.5h) - Control,PML bodies,6,0.9088376260247395,unnormalised,05_Sm,1.0094929625328353,0.8644917900292017,1.1788151757564949,0.0136308532604032,-0.2100758320497638,0.23733753857057008
Triptolide (2.5h) - Control,Cajal bodies - all,5,0.6407907535939502,relative_to_all,05_Sm,0.9510100807371773,0.7798629405257481,1.1597168254386003,-0.07246746110704043,-0.35870749962859844,0.21377257741451772
Triptolide (2.5h) - Control,(Extra-nuclear) - all,5,0.33574372055447055,relative_to_all,05_Sm,1.1091193997885544,0.9165832046214999,1.3420994807506952,0.14941468399421204,-0.1256622447318357,0.4244916127202597
Triptolide (2.5h) - Control,Nuclear periphery - all,5,0.18965391284475086,relative_to_all,05_Sm,1.1569848941632785,0.9583446446023294,1.3967981694909755,0.21037002844022254,-0.06138351654374458,0.48212357342419
Triptolide (2.5h) - Control,Nuclear speckles - all,5,0.08282855789136456,relative_to_all,05_Sm,0.789121511821307,0.6367378415054055,0.9779735392306799,-0.3416806260753695,-0.6512285883538564,-0.03213266379688253
Triptolide (2.5h) - Control,Nucleolus - all,5,0.018259071853222095,relative_to_all,05_Sm,1.428440022414156,1.1664234736489467,1.7493139873560681,0.5144404614179732,0.22209165853620172,0.8067892642997448
Triptolide (2.5h) - Control,Nucleoplasm - all,5,0.5065674026388514,relative_to_all,05_Sm,0.9231418101704151,0.7414271959522816,1.149392423608316,-0.11537580767216196,-0.43162305992197025,0.2008714445776464
Triptolide (2.5h) - Control,PML bodies - all,5,0.5430646644392707,relative_to_all,05_Sm,0.9324608567026547,0.75572716570127485,1.1505253334062886,-0.10088493040554465,-0.40406261141110933,0.20229275060002014
Triptolide (2.5h) - Control,all,6,2.1041688611088266e-9,unnormalised,07_POLR2A,0.06867498079011991,0.06256335106693331,0.07538363764239009,-3.864071588026598,-3.9985384003045294,-3.729604775748667
Triptolide (2.5h) - Control,Cajal bodies,6,1.2982686743660454e-9,unnormalised,07_POLR2A,0.05637875060912698,0.05140682982419171,0.06183154127800982,-4.148704682600492,-4.281896143606298,-4.015513221594686
Triptolide (2.5h) - Control,Extra-nuclear,6,3.647912927364206e-9,unnormalised,07_POLR2A,0.2682045950287773,0.2550723905028593,0.2820129009366229,-1.8985941403875495,-1.9710213474180749,-1.8261669333570236
Triptolide (2.5h) - Control,Nuclear periphery,6,5.816640691689732e-10,unnormalised,07_POLR2A,0.09696487363485848,0.09081548527689079,0.10353065548631259,-3.366393976605995,-3.4609178721331335,-3.2718700810788564
Triptolide (2.5h) - Control,Nuclear speckles,6,3.961317991419084e-9,unnormalised,07_POLR2A,0.0555609026896148,0.049684545907609845,0.062132275766900544,-4.169786151016048,-4.331059010211377,-4.0085132918207185
Triptolide (2.5h) - Control,Nucleolus,6,2.473860118739996e-8,unnormalised,07_POLR2A,0.09621811658497921,0.08508381423536585,0.10880948441674951,-3.3775476300147855,-3.554971480229045,-3.2001237798005264
Triptolide (2.5h) - Control,Nucleoplasm,6,4.7532833869624885e-9,unnormalised,07_POLR2A,0.05793903345614085,0.051718804687336556,0.06490737011665235,-4.109320572126424,-4.273167257464522,-3.9454738867883274
Triptolide (2.5h) - Control,PML bodies,6,2.6181210763981656e-9,unnormalised,07_POLR2A,0.05753583290056141,0.05190170849006392,0.06378156257023918,-4.119395453775686,-4.268074160062979,-3.9707167474883933
Triptolide (2.5h) - Control,Cajal bodies - all,5,0.02689430465858279,relative_to_all,07_POLR2A,0.8209503659189671,0.7246369285999493,0.9300650804598438,-0.284633094573894,-0.46466976528928944,-0.10459642385849859
Triptolide (2.5h) - Control,(Extra-nuclear) - all,5,1.3990635653298797e-6,relative_to_all,07_POLR2A,3.905419294523679,3.5326635448255144,4.317507079998804,1.9654774476390489,1.8207563517402758,2.110198543537822
Triptolide (2.5h) - Control,Nuclear periphery - all,5,0.0015629193987275085,relative_to_all,07_POLR2A,1.4119388534114967,1.2666543345133705,1.5738874225215294,0.49767761142060307,0.34102287181689894,0.6543323510243069
Triptolide (2.5h) - Control,Nuclear speckles - all,5,0.031393204738859606,relative_to_all,07_POLR2A,0.8090414012552326,0.7032418544208694,0.9307580099652355,-0.3057145629894493,-0.50790715784106,-0.10352196813783884
Triptolide (2.5h) - Control,Nucleolus - all,5,0.006859833069772965,relative_to_all,07_POLR2A,1.401065067335583,1.2066680751963905,1.6267798603924917,0.48652395801181275,0.27102888062958547,0.7020190353940396
Triptolide (2.5h) - Control,Nucleoplasm - all,5,0.06438822387881767,relative_to_all,07_POLR2A,0.8436701807490914,0.7327857854914107,0.9713334892377598,-0.24524898409982612,-0.44853657644151684,-0.04196139175813546
Triptolide (2.5h) - Control,PML bodies - all,5,0.047600229995976275,relative_to_all,07_POLR2A,0.8377990388726683,0.7335824181462751,0.9568212271358003,-0.25532386574908805,-0.4469690327771077,-0.06367869872106834
Triptolide (2.5h) - Control,all,6,2.7212913386098885e-5,unnormalised,07_SETD1A,0.7654733545570116,0.7311179346319296,0.801443144506846,-0.3855759352126018,-0.45182395275179993,-0.3193279176734038
Triptolide (2.5h) - Control,Cajal bodies,6,1.790072941928541e-5,unnormalised,07_SETD1A,0.7510619169072326,0.7174755777992581,0.7862204937464703,-0.4129962476899185,-0.4789983702593907,-0.3469941251204462
Triptolide (2.5h) - Control,Extra-nuclear,6,0.39104153303178246,unnormalised,07_SETD1A,0.9643915388344388,0.8930153786159001,1.0414725910061695,-0.052309101490623046,-0.16324307467876392,0.05862487169751776
Triptolide (2.5h) - Control,Nuclear periphery,6,0.7652461091248355,unnormalised,07_SETD1A,1.0080507973066644,0.9586060658038598,1.0600458793242389,0.011568340401231104,-0.06099002591164663,0.08412670671410885
Triptolide (2.5h) - Control,Nuclear speckles,6,1.7232479098117592e-7,unnormalised,07_SETD1A,0.5715470050691687,0.5487630416353536,0.5952769305127547,-0.8070559416942631,-0.8657447734437899,-0.7483671099447365
Triptolide (2.5h) - Control,Nucleolus,6,0.04806042029513003,unnormalised,07_SETD1A,1.1164909548679252,1.0232337786199113,1.218247558229734,0.15897156336813614,0.033135795840259955,0.28480733089601223
Triptolide (2.5h) - Control,Nucleoplasm,6,1.546782725912746e-4,unnormalised,07_SETD1A,0.7258700608984834,0.6736083414334554,0.7821864916154965,-0.4622167825827931,-0.570018091176983,-0.35441547398860335
Triptolide (2.5h) - Control,PML bodies,6,1.7277516392495324e-5,unnormalised,07_SETD1A,0.7123171771917214,0.6749508522482112,0.751752159779167,-0.4894083142719275,-0.5671456413153886,-0.41167098722846646
Triptolide (2.5h) - Control,Cajal bodies - all,5,0.3889925814895872,relative_to_all,07_SETD1A,0.9811731687798342,0.9431679326674696,1.0207098373359116,-0.027420312477316612,-0.08441342679029269,0.029572801835659315
Triptolide (2.5h) - Control,(Extra-nuclear) - all,5,0.0026410679166976357,relative_to_all,07_SETD1A,1.2598629764096014,1.1609049183231888,1.3672564344203926,0.3332668337219787,0.21524981588914532,0.4512838515548121
Triptolide (2.5h) - Control,Nuclear periphery - all,5,1.5110433231557883e-4,relative_to_all,07_SETD1A,1.3168986109125054,1.249439113465307,1.3880003697126457,0.3971442756138328,0.32128059903013045,0.4730079521975353
Triptolide (2.5h) - Control,Nuclear speckles - all,5,9.262026080386793e-6,relative_to_all,07_SETD1A,0.7466582627163157,0.7235042325784143,0.7705532824538442,-0.42148000648166134,-0.46692663818284735,-0.3760333747804755
